age,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,converted,balance_clean,housing_enc,loan_enc,duration_balance_ratio,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,age_group_mid,age_group_senior
58,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,0,2143.0,1,0,0.12173507462686567,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
44,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,0,29.0,1,0,5.033333333333333,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
33,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,0,2.0,1,1,25.333333333333332,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
47,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,0,1506.0,1,0,0.06104844061048441,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
33,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,0,1.0,0,0,99.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False
35,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,0,231.0,1,0,0.5991379310344828,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
28,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,0,447.0,1,1,0.484375,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
42,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,0,2.0,1,0,126.66666666666667,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
58,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,0,121.0,1,0,0.4098360655737705,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
43,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,0,593.0,1,0,0.09259259259259259,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
41,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,0,270.0,1,0,0.8191881918819188,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
29,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,0,390.0,1,0,0.35038363171355497,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
53,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,0,6.0,1,0,73.85714285714286,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
